Date,Outlet,Movement Type,Reference ID,Comment,Code,SKU,Product Type,Supplier,Avail Changed,Req Changed,Alloc Changed,Pick Changed,Rec Changed,On Ord Changed,Tr Ou Changed,Tr In Changed,Flt Changed,Avail Before,Req Before,Alloc Before,Pick Before,Rec Before,On Ord Before,Tr Ou Before,Tr In Before,Flt Before,Avail After,Req After,Alloc After,Pick After,Rec After,On Ord After,Tr Ou After,Tr In After,Flt After
20/01/2016 8:13 AM,Sydney City,Invoice,16-00024047,Invoice Status updated from Incomplete to Processed,130882,850791002376,General Health (superfoods),Flush FitnessPty Ltd,-1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
20/01/2016 8:13 AM,Sydney City,Invoice,16-00024047,Fulfilled items removed from allocation,130882,850791002376,General Health (superfoods),Flush FitnessPty Ltd,0,0,-1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
20/01/2016 8:13 AM,Sydney City,Invoice,16-00024047,Invoice Status updated from Incomplete to Processed,130882,850791002376,General Health (superfoods),Flush FitnessPty Ltd,-1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
20/01/2016 8:13 AM,Sydney City,Invoice,16-00024047,Fulfilled items removed from allocation,130882,850791002376,General Health (superfoods),Flush FitnessPty Ltd,0,0,-1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
20/01/2016 8:13 AM,Sydney City,Invoice,16-00024047,Invoice Status updated from Incomplete to Processed,129409,9343518000003,Fat Burners,Flush FitnessPty Ltd,-1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0
20/01/2016 8:13 AM,Sydney City,Invoice,16-00024047,Fulfilled items removed from allocation,129409,9343518000003,Fat Burners,Flush FitnessPty Ltd,0,0,-1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
20/01/2016 8:40 AM,Sydney City,Invoice,16-00024048,Invoice Status updated from Incomplete to Processed,131053,9345856001032,Miscellaneous,Lights Int'l Trading Limited,-1,0,1,0,0,0,0,0,0,44,0,0,0,0,0,0,48,0,43,0,1,0,0,0,0,48,0
20/01/2016 8:40 AM,Sydney City,Invoice,16-00024048,Fulfilled items removed from allocation,131053,9345856001032,Miscellaneous,Lights Int'l Trading Limited,0,0,-1,0,0,0,0,0,0,43,0,1,0,0,0,0,48,0,43,0,0,0,0,0,0,48,0
20/01/2016 9:06 AM,Brisbane City,Invoice,16-00024051,Invoice Status updated from Incomplete to Processed,131424,9317293460000,Protein Bars,Amino Active (Max's),-1,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0
20/01/2016 9:06 AM,Brisbane City,Invoice,16-00024051,Fulfilled items removed from allocation,131424,9317293460000,Protein Bars,Amino Active (Max's),0,0,-1,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
20/01/2016 9:06 AM,Brisbane City,Invoice,16-00024051,Invoice Status updated from Incomplete to Processed,131427,9317293460031,Protein Bars,Amino Active (Max's),-1,0,1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0
20/01/2016 9:06 AM,Brisbane City,Invoice,16-00024051,Fulfilled items removed from allocation,131427,9317293460031,Protein Bars,Amino Active (Max's),0,0,-1,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
20/01/2016 9:09 AM,Brisbane City,Invoice,16-00024052,Invoice Status updated from Incomplete to Processed,132762,644225701078,Protein Bars,Power Crunch Pty Ltd,-4,0,4,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,30,0,4,0,0,0,0,0,0
20/01/2016 9:09 AM,Brisbane City,Invoice,16-00024052,Fulfilled items removed from allocation,132762,644225701078,Protein Bars,Power Crunch Pty Ltd,0,0,-4,0,0,0,0,0,0,30,0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
20/01/2016 9:09 AM,Ravenhall,Invoice,16-00024053,Invoice Status updated from Incomplete to Processed,133108,133108,Pre Workout,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,1,0,0,3,0,0,0
20/01/2016 9:09 AM,Ravenhall,Invoice,16-00024053,Fulfilled items removed from allocation,133108,133108,Pre Workout,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,2,0,0,0,0,3,0,0,0
20/01/2016 9:12 AM,Bankstown,Invoice,16-00024055,Invoice Status updated from Incomplete to Processed,131776,9345856001063,Fat Burners,Global Link Nutrition,-1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Bankstown,Invoice,16-00024055,Fulfilled items removed from allocation,131776,9345856001063,Fat Burners,Global Link Nutrition,0,0,-1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,132964,9317293902074,Protein Bars,Amino Active (Max's),-6,0,6,0,0,0,0,0,0,43,0,0,0,0,24,0,0,0,37,0,6,0,0,24,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,132964,9317293902074,Protein Bars,Amino Active (Max's),0,0,-6,0,0,0,0,0,0,37,0,6,0,0,24,0,0,0,37,0,0,0,0,24,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,128191,9317293902012,Protein Bars,Amino Active (Max's),-4,0,4,0,0,0,0,0,0,35,0,0,0,0,12,0,0,0,31,0,4,0,0,12,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,128191,9317293902012,Protein Bars,Amino Active (Max's),0,0,-4,0,0,0,0,0,0,31,0,4,0,0,12,0,0,0,31,0,0,0,0,12,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,128757,9317293902036,Protein Bars,Amino Active (Max's),-2,0,2,0,0,0,0,0,0,51,0,0,0,0,24,0,0,0,49,0,2,0,0,24,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,128757,9317293902036,Protein Bars,Amino Active (Max's),0,0,-2,0,0,0,0,0,0,49,0,2,0,0,24,0,0,0,49,0,0,0,0,24,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,130387,888849000005,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,130387,888849000005,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,130387,888849000005,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,72,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,130387,888849000005,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,72,0,1,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,130387,888849000005,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,71,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,130387,888849000005,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,71,0,1,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,130387,888849000005,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,130387,888849000005,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,129863,888849000210,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,48,0,0,0,0,1,0,0,0,47,0,1,0,0,1,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,129863,888849000210,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,47,0,1,0,0,1,0,0,0,47,0,0,0,0,1,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,129863,888849000210,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,47,0,0,0,0,1,0,0,0,46,0,1,0,0,1,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,129863,888849000210,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,46,0,1,0,0,1,0,0,0,46,0,0,0,0,1,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,129721,888849000012,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,91,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,129721,888849000012,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,91,0,1,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,129721,888849000012,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,90,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,129721,888849000012,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,90,0,1,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,132893,888849001897,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,74,0,0,0,0,24,0,0,0,73,0,1,0,0,24,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,132893,888849001897,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,73,0,1,0,0,24,0,0,0,73,0,0,0,0,24,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,132893,888849001897,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,73,0,0,0,0,24,0,0,0,72,0,1,0,0,24,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,132893,888849001897,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,72,0,1,0,0,24,0,0,0,72,0,0,0,0,24,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,129581,888849000470,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,129581,888849000470,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Invoice Status updated from Incomplete to Processed,129581,888849000470,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0
20/01/2016 9:12 AM,Brisbane City,Invoice,16-00024050,Fulfilled items removed from allocation,129581,888849000470,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
20/01/2016 9:14 AM,Brisbane City,Invoice,16-00024056,Invoice Status updated from Incomplete to Processed,129774,748927050912,Protein Blends,EMI Nutrition Distributors Pty Ltd,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
20/01/2016 9:14 AM,Brisbane City,Invoice,16-00024056,Fulfilled items removed from allocation,129774,748927050912,Protein Blends,EMI Nutrition Distributors Pty Ltd,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20/01/2016 9:14 AM,Brisbane City,Invoice,16-00024056,Invoice Status updated from Incomplete to Processed,130876,9317293305004,Amino Acids,Amino Active (Max's),-1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
20/01/2016 9:14 AM,Brisbane City,Invoice,16-00024056,Fulfilled items removed from allocation,130876,9317293305004,Amino Acids,Amino Active (Max's),0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20/01/2016 9:22 AM,Brisbane City,Manual Adjustment,93343,Manual Stock Adjustment,132553,9345856001148,Pre Workout,Global Link Nutrition NZ,-1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
20/01/2016 9:22 AM,Brisbane City,Invoice,16-00024058,Invoice Status updated from Incomplete to Processed,129467,788434110419,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0
20/01/2016 9:22 AM,Brisbane City,Invoice,16-00024058,Fulfilled items removed from allocation,129467,788434110419,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
20/01/2016 9:22 AM,Brisbane City,Invoice,16-00024058,Invoice Status updated from Incomplete to Processed,129467,788434110419,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0
20/01/2016 9:22 AM,Brisbane City,Invoice,16-00024058,Fulfilled items removed from allocation,129467,788434110419,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
20/01/2016 9:22 AM,Brisbane City,Invoice,16-00024058,Invoice Status updated from Incomplete to Processed,129467,788434110419,Protein Bars,Nutrition Systems Pty Ltd,-1,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0
20/01/2016 9:22 AM,Brisbane City,Invoice,16-00024058,Fulfilled items removed from allocation,129467,788434110419,Protein Bars,Nutrition Systems Pty Ltd,0,0,-1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
