"Address format","Address format"
"PayPal Website Payments Standard","PayPal"
"No Payment Information Required","No Payment Info"
"Purchase Order","PO"
"PayPal Express Checkout","PayPal Express"
"Cash On Delivery","COD"
"Check / Money order" > "Check/MO"
"Credit Card","CC"
"Credit Card (saved)","CC(s)"
"United Parcel Service - 2nd Day Air","UPS 2nd Day Air"
"United Parcel Service - 3 Day Select","UPS 3 Day Select"
"United Parcel Service - Ground","UPS Ground"
"United Parcel Service - Next Day Air","UPS NDA"
"United Parcel Service - Next Day Air Early AM","UPS NDA Early AM"
"United Parcel Service - Worldwide Expedited","UPS WW Expedited"
"United Parcel Service - Worldwide Express","UPS WW Express"
"United Parcel Service - Worldwide Express Saver","UPS WW Express Saver"
"United Parcel Service","UPS"
"Flat Rate - Fixed","Flat Rate - Fixed"
"Free Shipping - Free","Free"
"Free Worldwide Delivery","Free WW"
"Royal Mail","RM"
"Next-Day Delivery","Next-Day"
"eBay Shipping","eBay"
"International","Int'l"
"Standard","Std"
"Small","Sml"
"Packets","Pkt"
"from outside","ex"
"delivery",""
"Shipping",""
"Postage",""
"Bank Transfer Payment","Bank Transfer Payment"
"Credit Card (Authorize.net)","CC(A)"
"Bill Me Later","Bill Me Later"
"PayPal Payments Pro","PayPal Payments Pro"
"PayPal Express Checkout Payflow Edition","PayPal Express PF"
"PayPal Payments Pro Payflow Edition","PayPal Pro PF"
"Payflow Pro","PF Pro"
"PayPal Billing Agreement","PayPal Billing Agreement"
"Payment by cards or by PayPal account","Payment by cards or by PayPal account"
"Credit Card Direct Post (Authorize.net)","CC Direct Post (Authorize.net)"
"PayPal Mobile Payments Library","PayPal Mobile Library"
"PayPal Mobile Express Checkout Library","PayPal Mobile Express Checkout Library"
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners","CC/V, MC, AMEX, JCB, Diners"
"CartaSi","CartaSi"
"Lastschrift (ELV)","Lastschrift (ELV)"
"Dankort","Dankort"
"Nordea Solo","Nordea Solo"
"eNETS","eNETS"
"Carte Bleue","Carte Bleue"
"Giropay","Giropay"
"iDeal","iDeal"
"Laser","Laser"
"Maestro","Maestro"
"EPS Online-Überweisung","EPS Online-Überweisung"
"POLi","POLi"
"Postepay","Postepay"
"All Polish Banks","All Polish Banks"
"Sofortüberweisung","Sofortüberweisung"
"Moneybookers eWallet","Moneybookers eWallet"
"Onlineüberweisung (empfohlen)","Onlineüberweisung (empfohlen)"
"Ogone Direct Link","Ogone Direct Link"
"Psigate","Psigate"
"Credit Card (Sage Pay Direct)","CC (Sage Pay Direct)"
"Worldpay","Worldpay"
"Braintree","Braintree"
"First Data Global Gateway","First Data Global Gateway"
"Paybox Direct","Paybox Direct"
"eWAY Direct","eWAY Direct"
"Credit Card (Cybersource)","CC (Cybersource)"
"Ogone","Ogone"
"Credit Card (Payone.de)","CC(Payone.de)"
"Credit Card (DIBS)","CC(DIBS)"
"Protx Standard","Protx Standard"
"Paybox System","Paybox System"
"eWAY Shared","eWAY Shared"
"eWAY 3D-Secure","eWAY 3D-Secure"
"ChronoPay Standard","ChronoPay Standard"
"ChronoPay Gateway","ChronoPay Gateway"
"CyberMUT-P@iement","CyberMUT-P@iement"
"iDEAL Basic","iDEAL Basic"
"iDEAL Advanced","iDEAL Advanced"
"Flo2Cash Web Service","Flo2Cash Web Service"
"Amazon Simple Pay","Amazon Simple Pay"
"Checkout by Amazon","Checkout by Amazon"
