"Orders/Amounts", "Orders/Amounts"
"Totals", "Totals"
"Averages", "Averages"
"Bestsellers", "Bestsellers"
"Most Viewed Products", "Most Viewed Products"
"New Customers", "New Customers"
"VIP Customers", "VIP Customers"
"Today", "Today"
"Yesterday", "Yesterday"
"Total", "Total"
"Tax", "Tax"
"Shipping Amount", "Shipping Amount"
"Quantity", "Quantity"
"Sunday","Sunday"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday", "Thursday"
"Friday", "Friday"
"Saturday","Saturday"
"Set Default Colors", "Set Default Colors"
"to","to"
"New order", "New order"
" new order!", " new order!"
" new orders!", " new orders!"
"sold", "sold"
"cancel","cancel"
"refund", "refund"
"no slide", "no slide"
"slide all except error messages", "slide all except error messages"
"slide all", "slide all"
"Default Magento", "Default Magento"
"Dash", "Dash"
"24h Overview", "24h Overview"
"Today vs. Yesterday", "Today vs. Yesterday"
"# Orders", "# Orders"
"Visitors", "Visitors"
"Convert", "Convert"
"Sync pending : may not be 100% accurate", "Sync pending : may not be 100% accurate"
"All", "All"
"Total # Orders", "Total # Orders"
"Total %s Revenue", "Total %s Revenue"
"Average Order %s Amount", "Average Order %s Amount"
"Average Product Price","Average Product Price"
"Average # Products in Each Order", "Average # Products in Each Order"
"page","page"
