"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2a Shipmethod match","2a Shipmethod matchen"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2b Shipmethod match","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2b Shipmethod match"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2c Shipmethod match","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2c Shipmethod matchen"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2d Country negative match","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2d Land negativ matchning"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2nd Custom page title","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2. Anpassad sidtitel"
"<![CDATA[ &nbsp; &nbsp; - ]]>2nd Order attribute code","<![CDATA[ &nbsp; &nbsp; - ]]>2. Beställ attribut kod"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2nd Order attribute code","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>2. Beställ attribut kod"
"Add 2nd shipping-type image?","Lägg 2:e sjöfart typ bild?"
"Add 3rd shipping-type image?","Lägg 3:e sjöfart typ bild?"
"<![CDATA[ &nbsp; - ]]>Add a 2nd page title?","<![CDATA[ &nbsp; - ]]>Lägg till 2:a sidans titel?"
"Add company address to header?","Lägg till företagsadress till huvud?"
"Add header logo?","Lägg till header logotyp?"
"Add image background to label?","Lägg till bakgrundsbild till etiketten?"
"<![CDATA[ &nbsp; - ]]>Add Order ID barcode?","<![CDATA[ &nbsp; - ]]>Lägg till streckkod för Ordernummer?"
"Add Order ID barcode?","Lägg till streckkod för Ordernummer?"
"Add ordered qty to stock-needed qty?","Lägg till beställt antal till lagerhållt antal?"
"Add return address at bottom?","Lägg till returadress i sidfot?"
"Add return address?","Lägg till returadress?"
"Add shipping address at bottom?","Lägg till leveransadress i sidfot?"
"Add shipping-type image?","Lägg till bild för fraktmetod?"
"Address format","Adressformat"
"Address label : Color","Adressetikett: Färg"
"Address label : Font","Adressetikett: Font"
"Address label : Size","Adressetikett: Storlek"
"Address label : Style","Adressetikett: Style"
"Address-label Sheet Options","Adressetikettsalternativ"
"Alternate row color","Alternativ radfärg"
"<![CDATA[ &nbsp; - ]]>Attribute 1","<![CDATA[ &nbsp; - ]]>Attribut 1"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>'Attribute 1' column","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Attribut 1 kolumn"
"<![CDATA[ &nbsp; - ]]>Attribute 2","<![CDATA[ &nbsp; - ]]>Attribut 2"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>'Attribute 2' column","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Attribut 2 kolumn"
"<![CDATA[ &nbsp; - ]]>Attribute 3","<![CDATA[ &nbsp; - ]]>Attribut 3"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>'Attribute 3' column","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Attribut 3 kolumn"
"<![CDATA[ &nbsp; - ]]>Attribute code","<![CDATA[ &nbsp; - ]]>Attribut kod"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Attribute code","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Attributkod"
"<![CDATA[ &nbsp; - ]]>Attribute column title","<![CDATA[ &nbsp; - ]]>Attribut kolumnrubriken"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Attribute column title","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Attribut kolumnrubrik"
"Attribute to show","Attribut att visa"
"<![CDATA[ &nbsp; - ]]>Attribute to sort by :","<![CDATA[ &nbsp; - ]]>Attribut att sortera efter:"
"Attribute to sort by :","Attribut att sortera efter:"
"Attribute to use as product name","Attribut att använda som produktnamn"
"Auto Processing","Automatisk Process"
"<![CDATA[ &nbsp; - ]]>Background Image","<![CDATA[ &nbsp; - ]]>Bakgrundsbild"
"Barcode : Font","Streckkod: Font"
"Barcode X-pos.","Streckkod X-pos."
"<![CDATA[ &nbsp; - ]]>Billing address position","<![CDATA[ &nbsp; - ]]>Faktureringsadress position"
"<![CDATA[ &nbsp; - ]]>Billing address posititon","<![CDATA[ &nbsp; - ]]>Faktureringsadress position"
"<![CDATA[ &nbsp; - ]]>Billing address title","<![CDATA[ &nbsp; - ]]>Faktureringsadress titel"
"<![CDATA[ &nbsp; - ]]>Blank box image","<![CDATA[ &nbsp; - ]]>Tom ruta bild"
"Bottom of page","Längst ned på sidan"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Box 1 Image","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Ruta 1 Bild"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Box 2a Image (Store Pickup)","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Ruta 2a Bild (Upphämtning i butik)"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Box 2b Image (Express Mail)","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Ruta 2b Bild (Expresspost)"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Box 2c Image (Priority International)","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Ruta 2c Bild (Priority Internationellt)"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Box 2d Image (Standard International)","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Ruta 2D-bild (Standard Internationellt)"
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Box 3 Image","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>Ruta 3 Bild"
"<![CDATA[ &nbsp; - ]]>Bring up top address?","<![CDATA[ &nbsp; - ]]>Lägg överst adress?"
"Capitalise shipping labels?","Enbart stora bokstäver på fraktsedlar?"
"Category translation","Kategoriöversättning"
"Color attribute","Färgattribut"
"Color X-pos.","Färg X-pos."
"Column mapping","Kolumn mappning"
"Columns Y-X-pos.","Kolumner Y-X-pos."
"<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]>'Combined Packing Sheet/Invoice' grouped by Order ID?","<![CDATA[ &nbsp; &nbsp; &nbsp; &nbsp; - ]]> Kombinerad Packlista/Faktura grupperade efter Ordernummer?"
"Comments","Kommentarer"
"<![CDATA[ &nbsp; - ]]>Company address","<![CDATA[ &nbsp; - ]]>Företagsadress"
"Company address : Color","Företagsadress: Färg"
"Company address : Font","Företagsadress: Font"
"Company address : Size","Företagsadress: Storlek"
"Company address : Style","Företagsadress: Stil"
"<![CDATA[ &nbsp; - ]]>Company address, Default","<![CDATA[ &nbsp; - ]]>Företagsadress, Standard"
"<![CDATA[ &nbsp; - ]]>Company address, Group 1","<![CDATA[ &nbsp; - ]]>Företagsadress, grupp 1"
"<![CDATA[ &nbsp; - ]]>Company address, Group 2","<![CDATA[ &nbsp; - ]]>Företagsadress, grupp 2"
"<![CDATA[ &nbsp; - ]]>Company address, Group 3","<![CDATA[ &nbsp; - ]]>Företagsadress, Grupp 3"
"Condition","Villkor"
"Cost (base) to (display) exchange rate","Kostnad (bas) till (display) växelkurs"
"Cost currency prefix","Kostnad valuta prefix"
"Cost multiplier","Kostnadsmultiplikator"
"CSV (Order-combined Products) Options","CSV (Order-kombinerade produkter) Alternativ"
"CSV (Order-separated Products) Options","CSV (Order-separerade Products) Alternativ"
"CSV (Orders) Options","CSV (Ordrar) Alternativ"
"CSV field separator","CSV fältseparator"
"<![CDATA[ &nbsp; - ]]>Custom font file","<![CDATA[ &nbsp; - ]]>Anpassad teckensnittsfil"
"Custom Message : Background Color","Anpassat Meddelande: Bakgrundsfärg"
"Custom Message : Color","Anpassat Meddelande: Färg"
"Custom Message : Font","Anpassat Meddelande: Font"
"Custom Message : Size","Anpassat Meddelande: Storlek"
"Custom Message : Style","Anpassat Meddelande: Stil"
"<![CDATA[ &nbsp; - ]]>Custom options column title","<![CDATA[ &nbsp; - ]]>Anpassade alternativ för kolumnrubriken"
"<![CDATA[ &nbsp; - ]]>Custom page title","<![CDATA[ &nbsp; - ]]>Anpassad sidtitel"
"<![CDATA[ &nbsp; - ]]>Custom text image","<![CDATA[ &nbsp; - ]]>Anpassad text bild"
"Custom text under product list?","Anpassad text under produktlista?"
"Custom Value","Anpassat värde"
"Customer Address X-pos.","Kundens Adress X-pos."
"Customer Comments","Customer Comments"
"Customer ID (Footer) X-pos.","Kund-ID (sidfot) X-pos."
"Customer ID X-pos.","Kundnummer X-pos."
"Customer name X-pos.","Kundens namn X-pos."
"Customize page title?","Anpassa sidans titel?"
"Date format","Datumformat"
"Day","Dag"
"<![CDATA[ &nbsp; &nbsp; - ]]>Deadline text","<![CDATA[ &nbsp; &nbsp; - ]]>Deadline text"
"<![CDATA[ &nbsp; &nbsp; - ]]>Don't count these custom option SKUs :","<![CDATA[ &nbsp; &nbsp; - ]]>Räkna ej dessa anpassade alternativ SKUs :"
"Don't count these custom option SKUs :","Räkna ej dessa anpassade alternativ SKUs :"
"Double-line spacing?","Dubbelt radavstånd?"
"Email: Body","E-post: Body"
"Email: Send To","E-post: Skicka till"
"Email: Sender","E-post: Avsändare"
"Email: Subject","E-post: Ämne"
"Export: Path","Export: Sökväg"
"Extra attribute position","Extra attribut position"
"<![CDATA[ &nbsp; - ]]>Fill columns titlebar?","<![CDATA[ &nbsp; - ]]>Fyll kolumntitel?"
"Filter by supplier?","Filtrera efter leverantör?"
"<![CDATA[ &nbsp; - ]]>Filter order notes?","<![CDATA[ &nbsp; - ]]>Filtrera orderanteckningar?"
