sku,qty,is_in_stock
124001,11,1
124002,12,1
124003,24,1
124004,0,0
124005,191,1
124006,6,1
124007,7,1
124008,91,1
124009,8,1
124010,62,1
124011,0,0
124012,0,0
124013,0,0
124014,0,0
124015,0,0
124016,0,0
124017,0,0
124018,636,1
124019,398,1
124020,699,1
124021,106,1
124022,375,1
124023,156,1
124024,0,0
124025,241,1
124026,263,1
124027,168,1
124028,137,1
124029,113,1
124030,210,1
124031,0,0
124032,713,1
124033,696,1
124034,260,1
124035,25,1
124036,118,1
124037,665,1
124038,2122,1
124039,624,1
124040,448,1
124041,114,1
124042,489,1
124043,990,1
124044,0,0
124045,0,0
124046,0,0
124047,1475,1
124048,0,0
124049,14,1
124059,0,0
124060,0,0
124061,0,0
124062,0,0
124063,0,0
124064,0,0
124065,0,0
124066,0,0
124067,0,0
124068,0,0
124069,0,0
124070,0,0
124071,0,0
124072,0,0
124073,0,0
124074,0,0
124075,0,0
124076,0,0
124077,0,0
124078,0,0
124079,0,0
124080,0,0
124081,0,0
124082,0,0
124083,0,0
124084,0,0
124085,0,0
124086,0,0
124087,0,0
124088,0,0
124089,0,0
124090,0,0
124091,0,0
124092,0,0
124093,0,0
124094,98,1
124095,6,1
124096,0,0
124097,0,0
124098,0,0
124099,0,0
124100,0,0
124101,0,0
124102,0,0
124103,0,0
124104,0,0
124105,0,0
124106,0,0
124107,0,0
124108,0,0
124109,0,0
124110,0,0
124111,0,0
124112,0,0
124113,0,0
124114,0,0
124115,0,0
124116,0,0
124117,0,0
124118,0,0
124119,0,0
124120,0,0
124121,0,0
124122,0,0
124123,0,0
124124,0,0
124125,0,0
124126,0,0
124127,0,0
124128,0,0
124129,0,0
124130,0,0
124131,0,0
124132,0,0
124133,0,0
124134,0,0
124135,0,0
124136,0,0
124137,0,0
124138,0,0
124139,0,0
124140,0,0
124141,0,0
124142,0,0
124143,0,0
124144,0,0
124145,0,0
124146,0,0
124147,0,0
124148,0,0
124149,0,0
124150,0,0
124151,0,0
124152,0,0
124153,0,0
124154,0,0
124155,0,0
124156,0,0
124157,0,0
124158,0,0
124159,0,0
124160,0,0
124161,0,0
124162,0,0
124163,0,0
124164,0,0
124165,0,0
124166,0,0
124167,171,1
124168,118,1
124169,0,0
124170,0,0
124171,0,0
124172,0,0
124173,0,0
124174,0,0
124175,0,0
124176,0,0
124177,0,0
124178,0,0
124179,0,0
124180,0,0
124181,0,0
124182,0,0
124183,0,0
124184,0,0
124185,0,0
124186,0,0
124187,0,0
124188,0,0
124189,0,0
124190,0,0
124191,0,0
124192,0,0
124193,0,0
124194,0,0
124195,5,1
124196,2,1
124197,2,1
124198,0,0
124199,3,1
124200,3,1
124201,1,1
124202,2,1
124203,0,0
124204,2,1
124205,2,1
124206,0,0
124207,0,0
124208,0,0
124209,0,0
124210,0,0
124211,0,0
124212,0,0
124213,0,0
124214,0,0
124215,0,0
124216,0,0
124217,0,0
124218,0,0
124219,0,0
124220,0,0
124221,0,0
124222,0,0
124223,0,0
124224,0,0
124225,0,0
124226,0,0
124227,0,0
124228,0,0
124229,0,0
124230,0,0
124231,0,0
124232,0,0
124233,0,0
124234,0,0
124235,0,0
124236,0,0
124237,0,0
124238,0,0
124239,0,0
124240,6,1
124241,0,0
124242,0,0
124243,0,0
124244,2,1
124245,0,0
124246,0,0
124247,1,1
124248,5,1
124249,1,1
124250,0,0
124251,0,0
124252,0,0
124253,0,0
124254,0,0
124255,0,0
124256,0,0
124257,0,0
124258,0,0
124259,0,0
124260,19,1
124261,2,1
124262,4,1
124263,43,1
124264,49,1
124265,6,1
124266,7,1
124267,30,1
124268,9,1
124269,8,1
124270,74,1
124271,9,1
124272,19,1
124273,28,1
124274,18,1
124275,64,1
124276,13,1
124277,18,1
124278,24,1
124279,20,1
124280,6,1
124281,10,1
124282,6,1
124283,16,1
124284,6,1
124285,0,0
124286,0,0
124287,0,0
124288,0,0
124289,0,0
124290,0,0
124291,0,0
124292,0,0
124293,0,0
124294,0,0
124295,0,0
124296,0,0
124297,0,0
124298,0,0
124299,0,0
124300,0,0
124301,0,0
124302,0,0
124303,0,0
124304,0,0
124306,0,0
124307,0,0
124308,0,0
124309,0,0
124310,0,0
124311,0,0
124312,0,0
124313,0,0
124314,0,0
124315,0,0
124316,0,0
124317,0,0
124318,0,0
124319,0,0
124320,0,0
124321,0,0
124322,0,0
124323,0,0
124324,0,0
124325,6,1
124326,7,1
124327,9,1
124328,2,1
124329,6,1
124330,4,1
124331,0,0
124332,4,1
124333,2,1
124334,3,1
124335,4,1
124336,0,0
124337,0,0
124338,6,1
124339,6,1
124340,9,1
124341,0,0
124342,0,0
124343,0,0
124344,0,0
124345,0,0
124346,0,0
124347,0,0
124348,0,0
124349,0,0
124350,0,0
124351,0,0
124353,2,1
124354,0,0
124355,2,1
124356,0,0
124357,3,1
124358,0,0
124360,13,1
124361,7,1
124362,0,0
124363,0,0
124364,2,1
124365,15,1
124366,7,1
124367,27,1
124368,3,1
124369,5,1
124370,0,0
124371,0,0
124372,0,0
124373,0,0
124374,0,0
124375,0,0
124376,0,0
124377,0,0
124378,0,0
124379,0,0
124380,0,0
124381,0,0
124382,0,0
124383,0,0
124384,0,0
124385,0,0
124386,0,0
